,Region,Asalariados,Percepciones por persona,Salarios,Salario Medio Anual,year,smi
0,Total,19310627,1.34,366818775121,18996,2008,Total
1,Andalucía,3459137,1.41,53933824506,15592,2008,Total
2,Aragón,624119,1.35,12388667131,19850,2008,Total
3,Principado de Asturias,439553,1.32,8663847179,19711,2008,Total
4,Illes Balears,496056,1.32,8917118969,17976,2008,Total
5,Canarias,905009,1.3,14737043721,16284,2008,Total
6,Cantabria,253486,1.27,4931247527,19454,2008,Total
7,Castilla - La Mancha,874015,1.33,14811747351,16947,2008,Total
8,Castilla y León,1075255,1.32,20005547649,18605,2008,Total
9,Cataluña,3523400,1.33,74613923773,21177,2008,Total
10,Extremadura,448919,1.4,6572142031,14640,2008,Total
11,Galicia,1134854,1.28,20128165473,17736,2008,Total
12,Comunidad de Madrid,3088206,1.33,75274297684,24375,2008,Total
13,Región de Murcia,635338,1.41,10301980653,16215,2008,Total
14,La Rioja,143979,1.34,2727773126,18946,2008,Total
15,Comunidad Valenciana,2150632,1.32,37572124779,17470,2008,Total
16,Ciudad de Ceuta,31215,1.3,665344681,21315,2008,Total
17,Ciudad de Melilla,27454,1.36,573978891,20907,2008,Total
18,Total,3089856,1.41,5632251283,1823,2008,0-0.5
19,Andalucía,820605,1.54,1417739097,1728,2008,0-0.5
20,Aragón,82208,1.37,151724929,1846,2008,0-0.5
21,Principado de Asturias,60662,1.33,107905068,1779,2008,0-0.5
22,Illes Balears,65917,1.31,127317421,1931,2008,0-0.5
23,Canarias,150757,1.32,287782123,1909,2008,0-0.5
24,Cantabria,33278,1.32,61834365,1858,2008,0-0.5
25,Castilla - La Mancha,149280,1.31,261225844,1750,2008,0-0.5
26,Castilla y León,153050,1.35,268586575,1755,2008,0-0.5
27,Cataluña,479975,1.34,922094135,1921,2008,0-0.5
28,Extremadura,104532,1.52,187022443,1789,2008,0-0.5
29,Galicia,152228,1.32,281754289,1851,2008,0-0.5
30,Comunidad de Madrid,351022,1.39,650646662,1854,2008,0-0.5
31,Región de Murcia,111866,1.44,205859454,1840,2008,0-0.5
32,La Rioja,19870,1.42,33886649,1705,2008,0-0.5
33,Comunidad Valenciana,344923,1.36,649348763,1883,2008,0-0.5
34,Ciudad de Ceuta,5180,1.28,10543133,2035,2008,0-0.5
35,Ciudad de Melilla,4504,1.23,6980333,1550,2008,0-0.5
36,Total,2283675,1.64,14419677976,6314,2008,0.5-1
37,Andalucía,473452,1.72,2966665635,6266,2008,0.5-1
38,Aragón,66778,1.66,421520258,6312,2008,0.5-1
39,Principado de Asturias,48001,1.55,303959655,6332,2008,0.5-1
40,Illes Balears,66271,1.52,427623178,6453,2008,0.5-1
41,Canarias,133334,1.53,839180832,6294,2008,0.5-1
42,Cantabria,27246,1.55,172779040,6341,2008,0.5-1
43,Castilla - La Mancha,100112,1.61,633991771,6333,2008,0.5-1
44,Castilla y León,115111,1.61,725096578,6299,2008,0.5-1
45,Cataluña,368422,1.63,2330104632,6325,2008,0.5-1
46,Extremadura,62897,1.75,392761937,6245,2008,0.5-1
47,Galicia,131332,1.52,836217288,6367,2008,0.5-1
48,Comunidad de Madrid,292969,1.64,1858389041,6343,2008,0.5-1
49,Región de Murcia,92677,1.78,584752245,6310,2008,0.5-1
50,La Rioja,14462,1.72,92385281,6388,2008,0.5-1
